FinalComple Comple Symm FIFOSlowdown FIFOUnfairness FairSlowdown FairUnfairness DRFSlowdown DRFUnfairness PerfSlowdown PerfUnfairness 
0.001 0.123 0.091 0.000 0.572 0.052 0.025 0.104 0.000 0.000 0.960
0.001 0.079 0.091 0.000 0.830 0.026 0.008 0.039 0.000 0.033 1.397
0.000 0.056 0.091 0.000 0.664 0.047 0.016 0.063 0.000 0.016 0.674
0.000 0.010 0.043 0.055 0.602 0.034 0.006 0.034 0.000 0.000 0.291
0.001 0.034 0.200 0.000 0.100 0.056 0.035 0.056 0.000 0.016 0.393
0.000 0.013 0.043 0.132 0.493 0.226 0.014 0.217 0.000 0.000 0.540
0.001 0.051 0.143 0.000 0.444 0.030 0.034 0.015 0.000 0.000 0.340
0.001 0.098 0.091 0.000 0.178 0.084 0.015 0.145 0.000 0.076 0.123
0.002 0.205 0.091 0.028 0.821 0.130 0.055 0.120 0.000 0.000 0.760
0.000 0.000 0.000 0.000 0.832 0.075 0.000 0.075 0.000 0.000 0.832
0.008 0.204 0.200 0.036 0.196 0.065 0.036 0.065 0.000 0.000 0.161
0.020 0.177 0.333 0.125 0.562 0.070 0.061 0.055 0.000 0.000 1.150
0.001 0.106 0.091 0.014 0.611 0.065 0.029 0.065 0.000 0.000 0.422
0.006 0.081 0.263 0.106 0.549 0.203 0.046 0.187 0.000 0.000 0.311
0.007 0.060 0.333 0.013 0.560 0.039 0.044 0.053 0.000 0.000 0.635
0.002 0.042 0.200 0.000 0.905 0.140 0.050 0.140 0.000 0.000 0.667
0.001 0.055 0.143 0.013 0.072 0.000 0.017 0.013 0.000 0.020 0.038
0.012 0.175 0.263 0.000 0.508 0.173 0.092 0.191 0.000 0.045 0.708
0.000 0.055 0.091 0.019 0.887 0.068 0.082 0.068 0.000 0.000 0.045
0.023 0.208 0.333 0.062 0.298 0.016 0.080 0.054 0.000 0.000 0.451
0.002 0.116 0.143 0.000 1.393 0.062 0.012 0.056 0.000 0.056 1.383
0.009 0.223 0.200 0.137 0.634 0.158 0.054 0.116 0.000 0.000 0.426
0.007 0.102 0.263 0.000 0.498 0.007 0.021 0.007 0.000 0.041 0.455
0.026 0.155 0.412 0.106 0.537 0.021 0.041 0.007 0.000 0.000 0.485
0.005 0.068 0.263 0.153 0.090 0.137 0.041 0.121 0.000 0.000 0.127
0.006 0.081 0.263 0.015 1.534 0.084 0.044 0.061 0.000 0.000 1.361
0.000 0.029 0.091 0.075 0.111 0.020 0.005 0.020 0.000 0.000 0.134
0.002 0.092 0.143 0.063 0.939 0.134 0.039 0.118 0.000 0.000 0.756
0.010 0.138 0.263 0.000 0.790 0.046 0.072 0.046 0.000 0.015 0.897
0.020 0.180 0.333 0.043 0.509 0.057 0.128 0.014 0.000 0.000 0.381
0.018 0.254 0.263 0.130 0.265 0.014 0.088 0.000 0.000 0.034 0.417
0.116 0.227 0.714 0.144 0.063 0.098 0.045 0.068 0.000 0.000 0.024
0.023 0.137 0.412 0.104 0.846 0.082 0.043 0.082 0.000 0.000 0.118
0.000 0.045 0.091 0.000 0.080 0.071 0.018 0.077 0.000 0.097 0.428
0.009 0.078 0.333 0.083 0.292 0.025 0.064 0.000 0.000 0.038 0.250
0.036 0.144 0.500 0.096 0.670 0.080 0.057 0.032 0.000 0.000 0.669
0.014 0.127 0.333 0.156 0.255 0.117 0.031 0.086 0.000 0.000 0.446
0.006 0.157 0.200 0.000 0.475 0.059 0.050 0.081 0.000 0.044 0.660
0.008 0.200 0.200 0.075 0.435 0.098 0.121 0.083 0.000 0.000 0.113
0.020 0.286 0.263 0.000 0.858 0.015 0.114 0.045 0.000 0.068 0.757
0.117 0.326 0.600 0.122 0.087 0.084 0.052 0.084 0.000 0.000 0.020
0.017 0.155 0.333 0.115 0.212 0.135 0.042 0.183 0.000 0.000 0.106
0.095 0.263 0.600 0.136 0.200 0.050 0.090 0.000 0.000 0.043 0.102
0.153 0.153 1.000 0.000 1.122 0.063 0.089 0.000 0.000 0.021 0.776
0.076 0.106 0.846 0.044 1.055 0.029 0.084 0.000 0.000 0.015 1.776
0.109 0.109 1.000 0.104 0.819 0.028 0.027 0.000 0.000 0.057 0.512
0.069 0.096 0.846 0.107 0.448 0.066 0.057 0.082 0.000 0.000 0.684
0.022 0.194 0.333 0.184 0.445 0.132 0.076 0.149 0.000 0.000 0.794
0.103 0.286 0.600 0.138 0.358 0.164 0.172 0.103 0.000 0.000 0.627
0.027 0.240 0.333 0.089 0.814 0.144 0.126 0.110 0.000 0.000 0.265
0.166 0.325 0.714 0.265 2.175 0.214 0.151 0.133 0.000 0.000 1.084
0.196 0.196 1.000 0.043 0.315 0.094 0.097 0.043 0.000 0.000 0.435
0.026 0.237 0.333 0.244 0.438 0.244 0.087 0.222 0.000 0.000 0.281
0.037 0.150 0.500 0.008 0.512 0.083 0.066 0.066 0.000 0.000 0.355
0.178 0.178 1.000 0.038 0.585 0.053 0.137 0.000 0.000 0.113 0.380
0.015 0.134 0.333 0.038 0.649 0.092 0.045 0.046 0.000 0.000 0.430
