FinalComple Comple Symm FIFOSlowdown FIFOUnfairness FairSlowdown FairUnfairness DRFSlowdown DRFUnfairness PerfSlowdown PerfUnfairness 
0.008 0.200 0.200 0.184 0.094 0.184 0.048 0.184 0.000 0.000 0.097
0.000 0.044 0.091 0.000 0.034 0.135 0.000 0.149 0.000 0.135 0.005
0.002 0.051 0.200 0.062 0.126 0.062 0.035 0.062 0.000 0.000 0.128
0.003 0.023 0.333 0.182 0.015 0.260 0.096 0.169 0.000 0.000 1.233
0.004 0.033 0.333 0.299 0.091 0.254 0.090 0.239 0.000 0.000 0.431
0.066 0.066 1.000 0.137 0.152 0.288 0.176 0.192 0.000 0.000 0.096
0.000 0.009 0.091 0.000 0.135 0.267 0.011 0.291 0.000 0.000 0.135
0.000 0.044 0.091 0.000 0.095 0.145 0.121 0.145 0.000 0.000 0.095
0.009 0.081 0.333 0.071 0.301 0.429 0.070 0.429 0.000 0.000 0.252
0.026 0.237 0.333 0.049 0.508 0.099 0.113 0.123 0.000 0.000 0.419
0.004 0.110 0.200 0.130 0.011 0.259 0.180 0.259 0.000 0.000 0.428
0.020 0.082 0.500 0.123 0.288 0.123 0.076 0.099 0.000 0.000 0.274
0.000 0.000 0.000 0.000 0.228 0.243 0.000 0.243 0.000 0.029 0.083
0.012 0.109 0.333 0.320 0.230 0.480 0.087 0.420 0.000 0.000 0.409
0.009 0.037 0.500 0.000 0.468 0.216 0.034 0.243 0.000 0.054 0.102
0.009 0.037 0.500 0.056 0.152 0.000 0.022 0.000 0.000 0.033 0.150
0.028 0.112 0.500 0.352 1.164 0.222 0.111 0.185 0.000 0.000 0.333
0.020 0.082 0.500 0.059 0.000 0.044 0.076 0.074 0.000 0.000 0.000
0.006 0.051 0.333 0.101 0.117 0.000 0.035 0.000 0.000 0.029 0.088
0.000 0.047 0.091 0.000 0.008 0.022 0.069 0.022 0.000 0.000 0.008
0.001 0.017 0.200 0.000 0.101 0.236 0.016 0.236 0.000 0.200 0.347
0.019 0.075 0.500 0.055 0.962 0.178 0.044 0.151 0.000 0.000 0.202
0.185 0.185 1.000 0.000 0.611 0.039 0.108 0.066 0.000 0.000 0.493
0.008 0.069 0.333 0.000 0.281 0.284 0.073 0.284 0.000 0.134 0.631
0.046 0.091 0.714 0.146 0.004 0.375 0.329 0.354 0.000 0.000 0.472
